date,league,home_team,away_team,home_goals,away_goals,status,season
2024-06-09T19:00:00Z,BSA,Criciúma EC,Cuiabá EC,2,5,FINISHED,2024
2024-06-11T22:00:00Z,BSA,AC Goianiense,SC Corinthians Paulista,2,2,FINISHED,2024
2024-06-11T22:00:00Z,BSA,EC Juventude,EC Vitória,1,1,FINISHED,2024
2024-06-11T23:00:00Z,BSA,Botafogo FR,Fluminense FC,1,0,FINISHED,2024
2024-06-12T00:30:00Z,BSA,RB Bragantino,CA Mineiro,1,2,FINISHED,2024
2024-06-13T22:00:00Z,BSA,Cruzeiro EC,Cuiabá EC,2,1,FINISHED,2024
2024-06-13T23:00:00Z,BSA,CR Flamengo,Grêmio FBPA,2,1,FINISHED,2024
2024-06-13T23:00:00Z,BSA,SC Internacional,São Paulo FC,0,0,FINISHED,2024
2024-06-13T23:00:00Z,BSA,CA Paranaense,Criciúma EC,3,1,FINISHED,2024
2024-06-14T00:30:00Z,BSA,EC Bahia,Fortaleza EC,1,0,FINISHED,2024
2024-06-14T00:30:00Z,BSA,SE Palmeiras,CR Vasco da Gama,2,0,FINISHED,2024
2024-06-15T21:30:00Z,BSA,RB Bragantino,EC Juventude,2,1,FINISHED,2024
2024-06-16T00:00:00Z,BSA,Fluminense FC,AC Goianiense,1,2,FINISHED,2024
2024-06-16T19:00:00Z,BSA,CA Paranaense,CR Flamengo,1,1,FINISHED,2024
2024-06-16T19:00:00Z,BSA,SC Corinthians Paulista,São Paulo FC,2,2,FINISHED,2024
2024-06-16T19:00:00Z,BSA,EC Vitória,SC Internacional,2,1,FINISHED,2024
2024-06-16T21:30:00Z,BSA,Criciúma EC,EC Bahia,2,2,FINISHED,2024
2024-06-16T21:30:00Z,BSA,Cuiabá EC,Fortaleza EC,5,0,FINISHED,2024
2024-06-16T21:30:00Z,BSA,Grêmio FBPA,Botafogo FR,1,2,FINISHED,2024
2024-06-16T21:30:00Z,BSA,CR Vasco da Gama,Cruzeiro EC,0,0,FINISHED,2024
2024-06-17T23:30:00Z,BSA,CA Mineiro,SE Palmeiras,0,4,FINISHED,2024
2024-06-19T22:00:00Z,BSA,AC Goianiense,Criciúma EC,1,2,FINISHED,2024
2024-06-19T22:00:00Z,BSA,Botafogo FR,CA Paranaense,1,1,FINISHED,2024
2024-06-19T23:00:00Z,BSA,Fortaleza EC,Grêmio FBPA,1,0,FINISHED,2024
2024-06-19T23:00:00Z,BSA,EC Juventude,CR Vasco da Gama,2,0,FINISHED,2024
2024-06-19T23:00:00Z,BSA,São Paulo FC,Cuiabá EC,0,1,FINISHED,2024
2024-06-20T00:30:00Z,BSA,Cruzeiro EC,Fluminense FC,2,0,FINISHED,2024
2024-06-20T00:30:00Z,BSA,SC Internacional,SC Corinthians Paulista,1,0,FINISHED,2024
2024-06-20T21:30:00Z,BSA,EC Vitória,CA Mineiro,4,2,FINISHED,2024
2024-06-20T23:00:00Z,BSA,CR Flamengo,EC Bahia,2,1,FINISHED,2024
2024-06-21T00:30:00Z,BSA,SE Palmeiras,RB Bragantino,2,1,FINISHED,2024
2024-06-22T19:00:00Z,BSA,Criciúma EC,Botafogo FR,2,1,FINISHED,2024
2024-06-22T20:30:00Z,BSA,Grêmio FBPA,SC Internacional,0,1,FINISHED,2024
2024-06-22T21:30:00Z,BSA,Cuiabá EC,AC Goianiense,0,0,FINISHED,2024
2024-06-23T00:30:00Z,BSA,CR Vasco da Gama,São Paulo FC,4,1,FINISHED,2024
2024-06-23T19:00:00Z,BSA,CA Paranaense,SC Corinthians Paulista,1,1,FINISHED,2024
2024-06-23T19:00:00Z,BSA,EC Bahia,Cruzeiro EC,4,1,FINISHED,2024
2024-06-23T19:00:00Z,BSA,Fluminense FC,CR Flamengo,0,1,FINISHED,2024
2024-06-23T21:30:00Z,BSA,CA Mineiro,Fortaleza EC,1,1,FINISHED,2024
2024-06-23T21:30:00Z,BSA,RB Bragantino,EC Vitória,2,1,FINISHED,2024
2024-06-23T21:30:00Z,BSA,SE Palmeiras,EC Juventude,3,1,FINISHED,2024
2024-06-26T22:00:00Z,BSA,Botafogo FR,RB Bragantino,2,1,FINISHED,2024
2024-06-26T22:00:00Z,BSA,Cruzeiro EC,CA Paranaense,2,0,FINISHED,2024
2024-06-26T23:00:00Z,BSA,AC Goianiense,Grêmio FBPA,1,1,FINISHED,2024
2024-06-26T23:00:00Z,BSA,SC Corinthians Paulista,Cuiabá EC,1,1,FINISHED,2024
2024-06-26T23:00:00Z,BSA,EC Juventude,CR Flamengo,2,1,FINISHED,2024
2024-06-27T00:30:00Z,BSA,EC Bahia,CR Vasco da Gama,2,1,FINISHED,2024
2024-06-27T00:30:00Z,BSA,Fortaleza EC,SE Palmeiras,3,0,FINISHED,2024
2024-06-27T00:30:00Z,BSA,SC Internacional,CA Mineiro,1,2,FINISHED,2024
2024-06-27T22:00:00Z,BSA,Fluminense FC,EC Vitória,0,1,FINISHED,2024
2024-06-27T23:00:00Z,BSA,São Paulo FC,Criciúma EC,2,1,FINISHED,2024
2024-06-29T21:30:00Z,BSA,Cuiabá EC,RB Bragantino,1,1,FINISHED,2024
2024-06-29T21:30:00Z,BSA,CR Vasco da Gama,Botafogo FR,1,1,FINISHED,2024
2024-06-30T14:00:00Z,BSA,CA Mineiro,AC Goianiense,1,1,FINISHED,2024
2024-06-30T19:00:00Z,BSA,Fortaleza EC,EC Juventude,2,1,FINISHED,2024
2024-06-30T19:00:00Z,BSA,Grêmio FBPA,Fluminense FC,1,0,FINISHED,2024
2024-06-30T19:00:00Z,BSA,São Paulo FC,EC Bahia,3,1,FINISHED,2024
2024-06-30T21:30:00Z,BSA,Criciúma EC,SC Internacional,1,1,FINISHED,2024
2024-06-30T21:30:00Z,BSA,CR Flamengo,Cruzeiro EC,2,1,FINISHED,2024
2024-06-30T21:30:00Z,BSA,EC Vitória,CA Paranaense,0,1,FINISHED,2024
2024-07-01T23:00:00Z,BSA,SE Palmeiras,SC Corinthians Paulista,2,0,FINISHED,2024
2024-07-03T22:00:00Z,BSA,Cuiabá EC,Botafogo FR,1,2,FINISHED,2024
